# mesh name: boxMesh_1
# primitive scorer name: dDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,278,6.138912979430195e-12,1.131597544743576e-23,12
0,0,279,4.164982998843605e-12,5.168952014800547e-24,11
0,0,280,4.668472957063159e-12,8.711763772674499e-24,10
0,0,281,4.076053962981289e-12,4.40718414545728e-24,12
0,0,282,4.439951514728532e-12,4.437381874409321e-24,14
0,0,283,4.789320062299515e-12,5.1914033869724e-24,11
0,0,284,3.433543649181998e-12,4.645569388255127e-24,11
0,0,285,4.505723499871436e-12,5.152560689482269e-24,13
0,0,286,4.375633014842206e-12,4.997702389314499e-24,12
0,0,287,3.124873136137571e-11,5.130330292547835e-22,9
0,0,288,7.696496337521042e-12,2.174395998011878e-23,15
0,0,289,3.976449267950138e-12,4.794207809208841e-24,11
0,0,290,4.886683114175444e-12,5.328724788934789e-24,14
0,0,291,5.619234037998768e-12,6.864342299635992e-24,14
0,0,292,1.178300857068549e-11,6.346319795813293e-23,9
0,0,293,5.165047342295279e-12,1.10717166994721e-23,7
0,0,294,4.198929541455707e-12,5.984073220381364e-24,10
0,0,295,4.137433789982328e-12,6.006092066491475e-24,10
0,0,296,3.680700198765519e-12,6.058244235779529e-24,10
0,0,297,3.968854844513204e-12,6.240406707312115e-24,12
0,0,298,4.401064207554664e-12,6.926548875560931e-24,10
0,0,299,1.211474821185348e-11,5.846424690347348e-23,13
